grupo,itens_distintos,compras_no_periodo,unidades_usadas,nbr_citadas_no_historico,exemplos_de_material
SERVIÇOS,1021,1730,"UNI, UN, UM, M2","NBR 12721, NBR 7480",SERVIÇO COLETA CAÇAMBAS ESTACIONARIAS ; PRESTAÇAO DE SERVIÇOS DE CONCRETAGEM ; SERVIÇOS DE PEDREIRO
CANTEIRO DE OBRAS,517,1291,"UNI, UN, PCT, RL","NBR 6136, NBR 7480, NBR 6627, NBR 15079, NBR 6062, NBR 9062",MATERIAIS DIVERSOS ; COPO DESCARTAVEL 200 ML COPOBRAS PP CX C/ 2500 ; AGUA 20L
ELETRICO,353,733,"UNI, UN, M, RO","NBR 14136, NBR 15465, NBR 6524","FITA ISOLANTE 18MM X20M IMPERIAL PRETA 3M ; CABO FLEXIVEL 2,5MM PRETO 750V NBR247-3 ; CABO FLEXIVEL 2,5MM VERDE 750V NBR247-3"
HIDRAULICO,184,287,"UNI, UN, RL","NBR 5688, NBR 15884, NBR 5648, NBR 15705, NBR 15097, NBR 1558",TUBO DE PVC SOLDAVEL DE 25MM X 6M NBR5648 ; ANEL DE BORRACHA ESGOTO 100MM NBR5688 ; TUBO DE PVC SOLDAVEL DE 20MM X 6M NBR5648
SEGURANÇA,147,345,"UNI, PAR, UN, RL",NBR 15071,LUVA NITRILON VOLK CA38800 - GG ; JUGULAR DE TECIDO UNIVERSAL ; BOTINA BICO PLASTICO ELASTICO U-SAFE 4098USES4600US PRETO BRACOL CA 48
PINTURA,106,175,"UNI, LT, GL, BD","NBR 15079, NBR 15348",DESPESAS IPI ; FUNDO PREPARADOR EMBORRACHADO 16L INOLOR FOSCO ; PRIMOR PISO VERMELHO AMOR 18L - 4 BD
LIMPEZA,85,321,"UN, UNI, GL, FD",,TOALHA DE PAPEL INTERFOLHADA WHITE PREMIUM 23X21 C 1000FLS 100 CELULOS ; PAPEL HIGIENICO 30M C/ 64 ROLOS ; SERVIÇOS DE LIMPEZA
BLOCO CONCRETO,71,236,"UNI, UN","NBR 6136, NBR 9062","BLOCO DE CONCRETO ESTRUTURAL 14X19X39CM 14,0MPA NBR6136 ; BLOCO DE CONCRETO VAZADO DE VEDAÇAO 14X19X39CM 3,0MPA NBR6136 ; BLOCO DE CONCRETO ESTRUTURAL 14X19X39CM 12,0MPA NBR6136"
REVESTIMENTO,57,139,"UNI, M2, M, CX","ISO 10545, NBR 13816, NBR 15463, ISO 696, ISO 642","OASI PARADISO ST 60X120 NAT RET - 549,12M2 ; PORCELANATOS DIVERSOS ; OASIS PARADISO ST 60X120 NAT RET"
FERRAMENTAS,52,89,"UNI, UN, RL, PCT",,"DISCO CORTE AÇO 115X1,0X22,23MM ; CARRINHO DE MAO SUPER REFORÇADO CH14 76L RODA MACIÇA ; ESMERILHADEIRA 4.1/2'' GWS850 850W 220V M14 BOSCH"
AÇO,51,135,"KG, UNI","NBR 7480, NBR 6627","VERGALHAO CA50 12,50MM BR 12M NBR7480 ; VERGALHAO CA50 6,30MM BR 12M NBR7480 ; VERGALHAO CA50 8,00MM BR 12M NBR7480"
CIMENTICIOS,46,122,"UNI, SC, KG, FD","NBR 14992, NBR 14081, NBR 16697, NBR 13281, NBR 15049, NBR 15094",ARGAMASSA MULTIPLO USO CINZA SC 40KG NBR13281 ; ARGAMASSA COLANTE AC III CINZA SC 20KG NBR14081 ; CIMENTO CP III 32 RS CAMPEAO 50KG NBR16697
GESSO,43,302,"UN, PCT, UNI, PC","NBR 14715, NBR 12775, NBR 13207","FRETE (PRODUTO) ; GESSO LENTO EM PO SC 40KG NBR13207 ; PLACA DE GESSO CHATA ST 1,20X1,80 NBR12775"
MADEIRAS,42,156,"UNI, PC","NBR 11700, NBR 1096","PONTALETE DE PINUS 7CMX7CMX3M NBR11700 ; MADEIRITE PLASTIFICADO 2,20X1,10X19MM NBR1096 ; TABUA DE PINUS 15CMX3MX2,5 ESPESSURA NBR11700"
ALIMENTAÇAO,40,194,"UNI, CX",,CESTA BASICA ; CAFÉ ; FRUTAS DIVERSAS
IMPERMEABILIZANTES,40,125,"UNI, RL, CX, M2","NBR 9575, NBR 9574",FRETE ; FUNDO PREPARADOR EMBORRACHADO 16L INCOLOR FOSCO ; DOWSIL 791 BEGE SACHÊ 591ML
AGREGADOS,31,67,"UNI, TN, M3",,AREIA LAVADA ; PEDRA BRITADA SOLO BRITA ; PEDRA BRITADA 3 CONVENCIONAL
MATERIAL ESCRITORIO,31,40,UNI,,"TABLET SAMSUNG GALAXY TAB A11 + 5G 6GB, 128GB ; SMARTPHONE SAMSUNG GALAXY A17 5G 128GB PRETO ; SCANNER CANON A4 DR-C240 45PPM 600DPI"
INCENDIO,24,35,"UNI, UN, GL","NBR 10721, NBR 11742",TUBO 5590 SCH 10 RANHURADO PINTADO 2.1/2'' ; ACOP RIG RANHURADO 2.1/2'' (73MM) ; EXTINTOR DE INCENDIO TIPO PQS ABC 6KG 4A 40BC NBR10721
PRE MOLDADOS,11,14,"UNI, ML","NBR 9062, NBR 9457","LADRILHO HIDRAULICO 10 FRISOS CONCRETO RAMPA 20X20X1,5 COR PRETO NBR94 ; TUBO DE CONCRETO JR PB PA1 DN 600 X 2000 MM ; CHAPEU DE MURO RETO 25CM X 1,0M X 03CM"
BLOCO CERAMICO,4,6,UNI,NBR 15270,TIJOLO FURADO 29X19X14 ; TIJOLO FURADO 29X19X09 ; TIJOLOS FURADOS 19X19X29 QUEIMADOS A 1000 GRAUS
PAISAGISMO,4,7,"UNI, M",,SERVIÇOS DE PAISAGISMO ; MUDAS DE GRAMA ESMERALDA ; MINI BOUQUET FLORES SECAS
UNIFORME,4,13,UNI,,CAMISA POLO DE MALHA PIQUET C/ 3 LOGOS BORDADAS NA COR CINZA ; CAMISA POLO DE MALHA PIQUET MANGA LONGA C/ 3 LOGOS BORDADAS NA COR CIN ; CALÇA JEANS MASCULINA C/ LOGO BORDADA BOLSO ESQUERDO
GAS,2,2,"M, UNI",,TUBO LUVA GAS 1'' ; CAIXA PARA MEDIDOR DE GAS SOBREPOR VENT INFERIOR 500X500X200
SEM GRUPO,1,1,SC,,ARGAMASSA MULTIPLO USO - 40KG
CONCRETO,1,3,UNI,,PRESTAÇAO DE SERVIÇO CONCRETAGEM
