grupo,material,normas
AÇO,"VERGALHAO CA50 12,50MM BR 12M NBR7480",NBR 7480
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480",NBR 7480
AÇO,"VERGALHAO CA50 8,00MM BR 12M NBR7480",NBR 7480
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480",NBR 7480
AÇO,"VERGALHAO CA50 10,00MM BR 12M NBR7480",NBR 7480
AÇO,PREGO C/ CABEÇA 17X21- NBR 6627,NBR 6627
AÇO,"VERGALHAO CA50 20,00MM BR 12M NBR7480",NBR 7480
AÇO,"VERGALHAO CA60 5,00MM BR 12M NBR7480",NBR 7480
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 299,88 KG",NBR 7480
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 105,84KG",NBR 7480
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480 - 2651,04KG",NBR 7480
AÇO,"VERGALHAO CA50 20,00MM BR 12M NBR7480 - 680,57KG",NBR 7480
AÇO,"VERGALHAO CA50 25,00MM BR 12M NBR7480",NBR 7480
AÇO,"VERGALHAO CA50 20,00MM BR 12M NBR7480 - 2012KG",NBR 7480
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 1103KG",NBR 7480
AÇO,"VERGALHAO CA50 12,50MM BR 12M NBR7480 - 1006KG",NBR 7480
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 6037 KG",NBR 7480
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480 - 3825,072 KG",NBR 7480
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480 - 2442,744 KG",NBR 7480
AÇO,"VERGALHAO CA50 8,00MM BR 12M NBR7480 - 402,90 KG",NBR 7480
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 399,84 KG",NBR 7480
AÇO,"VERGALHAO CA50 8,00MM BR 12M NBR7480 - 94,80 KG",NBR 7480
AÇO,"VERGALHAO CA50 12,50MM BR 12M NBR7480 - 358,5460",NBR 7480
