grupo,descricao,unidade,n_compras,preco_min,preco_mediana,preco_max,obras,ref_temporal
,ARGAMASSA MULTIPLO USO - 40KG,SC,1,12.16,12.16,12.16,,2026-03
AGREGADOS,AREIA LAVADA,M3,13,135.00,135.00,2635.20,ARBO|PARADISO,2026-07
AGREGADOS,PEDRA BRITADA SOLO BRITA,TN,8,62.00,70.00,88.00,CELEBRATION|VINHATICO,2026-06
AGREGADOS,PEDRA BRITADA 3 CONVENCIONAL,TN,6,62.00,88.00,1258.86,VINHATICO,2026-07
AGREGADOS,BRITA 0,M3,5,189.00,189.00,285.00,ARBO|UPTOWN,2026-07
AGREGADOS,AREIA LAVADA FINA,M3,4,225.50,225.50,738.00,ARBO|PARADISO|UPTOWN,2026-04
AGREGADOS,VERGALHAO CA50,UNI,3,302.50,5302.51,7985.96,ARBO|PARADISO,2026-06
AGREGADOS,BICA CORRIDA,M3,2,169.00,650.65,1132.30,CELEBRATION|UPTOWN,2026-02
AGREGADOS,DIVERSOS,UNI,2,860.25,989.52,1118.79,ALLEGRO|MANUTENÇAO,2026-05
AGREGADOS,AREIA E BRITA,UNI,2,5092.50,5785.25,6478.00,ARBO,2026-07
AGREGADOS,"AREIA LAVADA - 9,4M3",UNI,1,1269.00,1269.00,1269.00,PARADISO,2026-02
AGREGADOS,"AREIA LAVADA - 9,5M3 E BRITA 1 - 7,3M3",UNI,1,2560.00,2560.00,2560.00,ARBO,2026-02
AGREGADOS,"PILHA, SELANTE, LUMINARIA, COLA TEK, TRINCHA, FITA CREPE",UNI,1,3740.90,3740.90,3740.90,DOWNTOWN,2026-02
AGREGADOS,"ANEL DE VEDAÇAO, FITA CREPE, PERCABONATO DE SODIO, SERROTE",UNI,1,1026.30,1026.30,1026.30,MANUTENÇAO,2026-02
AGREGADOS,BRITA ENSACADA - 2M3,UNI,1,690.00,690.00,690.00,PARADISO,2026-04
AGREGADOS,"AREIA LAVADA - 9,3M3",UNI,1,1255.00,1255.00,1255.00,ARBO,2026-04
AGREGADOS,TIJOLO FURADO 29X19X14 300 UNID. E TIJOLO 29X19X09 300 UNID.,UNI,1,1095.00,1095.00,1095.00,PARADISO,2026-04
AGREGADOS,"PEDRA BRITADA BRITA GRADUADA SIMPLES - 9,08TN",UNI,1,1170.23,1170.23,1170.23,UPTOWN,2026-04
AGREGADOS,"PEDRA BRITADA BRITA GRADUADA SIMPLES - 9,00TN",UNI,1,1159.92,1159.92,1159.92,UPTOWN,2026-04
AGREGADOS,SAIA DE TULE MIDI,UNI,1,89.64,89.64,89.64,VINHATICO,2026-03
AGREGADOS,"PEDRA BRITADA SOLO BRITA - 9,54 TON",TN,1,1059.89,1059.89,1059.89,VINHATICO,2026-04
AGREGADOS,"PEDRA BRITADA SOLO BRITA - 8,88 TON",TN,1,986.57,986.57,986.57,VINHATICO,2026-04
AGREGADOS,"PEDRA BRITADA SOLO BRITA - 7,89 TN",TN,1,876.58,876.58,876.58,VINHATICO,2026-05
AGREGADOS,"PEDRA BRITADA SOLO BRITA - 9,16 TN",TN,1,1017.68,1017.68,1017.68,VINHATICO,2026-05
AGREGADOS,"PEDRA BRITADA 2 CONVENCIONAL - 9,05 TN",TN,1,1110.25,1110.25,1110.25,UPTOWN,2026-05
AGREGADOS,ESCORIA,M3,1,190.00,190.00,190.00,UPTOWN,2026-05
AGREGADOS,"PEDRA BRITADA SOLO BRITA - 8,79 TN",UNI,1,976.57,976.57,976.57,VINHATICO,2026-05
AGREGADOS,BRITA 1,M3,1,175.00,175.00,175.00,ARBO,2026-07
AGREGADOS,BLOCO DE CONCRETO + TIJOLO,UNI,1,1701.00,1701.00,1701.00,PARADISO,2026-06
AGREGADOS,AREIA + CIMENTO,UNI,1,900.00,900.00,900.00,PARADISO,2026-06
AGREGADOS,FORNECIMENTO DE MARMORE E GRANITO,UNI,1,2692.00,2692.00,2692.00,DOWNTOWN,2026-06
AGREGADOS,AREIA E BRITA 0 E 1,UNI,1,6568.00,6568.00,6568.00,ARBO,2026-08
ALIMENTAÇAO,CESTA BASICA,UNI,93,287.00,287.00,1148.00,ARBO|CELEBRATION|DOWNTOWN|ESCRITORIO LOURDES|ESSENCE|MANUTEN,2026-08
ALIMENTAÇAO,CAFÉ,UNI,16,265.63,2340.00,16000.00,ARBO|CELEBRATION|ESCRITORIO LOURDES|PARADISO|VINHATICO,2026-07
ALIMENTAÇAO,FRUTAS DIVERSAS,UNI,13,5.09,34.06,62.31,ARBO|PARADISO|UPTOWN|VINHATICO,2026-06
ALIMENTAÇAO,LANCHE,UNI,9,219.50,839.95,13742.90,ESCRITORIO LOURDES|PARADISO|UPTOWN|VINHATICO,2026-07
ALIMENTAÇAO,CESTA NATAL,UNI,7,125.90,125.90,125.90,CELEBRATION|DOWNTOWN|ESCRITORIO LOURDES|MANUTENÇAO|PARADISO|,2026-01
ALIMENTAÇAO,FORNECIMENTO LANCHE,UNI,6,514.90,7467.87,10585.90,DOWNTOWN|PARADISO,2026-04
ALIMENTAÇAO,"AÇUCAR,ARROZ,OLEO,FEIJAO,CAFÉ, MACARRAO",UNI,6,287.00,861.00,2296.00,DOWNTOWN|PARADISO|PRISBEL,2026-03
ALIMENTAÇAO,LANCHE DIVERSOS,UNI,4,365.00,404.75,889.00,ESCRITORIO LOURDES|VINHATICO,2026-05
ALIMENTAÇAO,CESTA BASICA - 5 UNID.,UNI,3,1523.50,1563.50,1563.50,ARBO|DOWNTOWN,2026-02
ALIMENTAÇAO,CESTA BASICA - 3 UNID.,UNI,3,914.10,938.10,938.10,DOWNTOWN|MANUTENÇAO,2026-02
ALIMENTAÇAO,COFFEE BREAK,UNI,3,1080.00,1660.00,1885.00,VINHATICO,2026-05
ALIMENTAÇAO,CESTA BASICA - 22 UNID.,UNI,2,6703.40,6703.40,6703.40,PARADISO,2026-02
ALIMENTAÇAO,FORNECIMENTO DE CAFÉ DA MANHA E DA TARDE,UNI,2,2004.00,5082.00,8160.00,PARADISO|UPTOWN,2026-07
ALIMENTAÇAO,CESTA BASICA - 20 UNID.,UNI,1,6254.00,6254.00,6254.00,DOWNTOWN,2026-01
ALIMENTAÇAO,CESTA BASICA - 2 UNID.,UNI,1,609.40,609.40,609.40,VINHATICO,2026-01
ALIMENTAÇAO,CESTA BASICA - 29 UNID.,UNI,1,8836.30,8836.30,8836.30,ARBO,2026-01
ALIMENTAÇAO,CESTA BASICA - 15 UNID.,UNI,1,4690.50,4690.50,4690.50,PARADISO,2026-01
ALIMENTAÇAO,CESTA BASICA - 26 UNID.,UNI,1,7922.20,7922.20,7922.20,ARBO,2026-02
ALIMENTAÇAO,"BOLO, QUICHE, PAO DE QUEIJO, BARQUETE",UNI,1,538.00,538.00,538.00,VINHATICO,2026-02
ALIMENTAÇAO,CESTA BASICA - 14 UNID.,UNI,1,4377.80,4377.80,4377.80,PARADISO,2026-02
ALIMENTAÇAO,"PAO DOCE, PAO DE SAL, CAFÉ",UNI,1,9151.25,9151.25,9151.25,ARBO,2026-02
ALIMENTAÇAO,MESA DE ANTEPASTOS,UNI,1,2190.00,2190.00,2190.00,VINHATICO,2026-01
ALIMENTAÇAO,"BOLO INTEIRO, QUICHE DE QUEIJO ALHO PORO, EMPADA FRANGO",UNI,1,513.00,513.00,513.00,VINHATICO,2026-02
ALIMENTAÇAO,"QUICHE DE QUEIJO, EMPADA FRANGO, PAO DE QUEIJO",UNI,1,321.50,321.50,321.50,VINHATICO,2026-02
ALIMENTAÇAO,CESTA BASICA - 27 UNID.,UNI,1,7749.00,7749.00,7749.00,ARBO,2026-03
ALIMENTAÇAO,"QUICHE DE QUEIJO ALHO PORO,EMPADA FRANGO,PAO DE QUEIJO, COXINHA SIMPLES",UNI,1,936.50,936.50,936.50,PRISBEL,2026-03
ALIMENTAÇAO,CESTA BASICA - 21 UNID.,UNI,1,6027.00,6027.00,6027.00,PARADISO,2026-04
ALIMENTAÇAO,"QUICHE, EMPADA, PAO DE QUIEJO, COXINHA",UNI,1,537.00,537.00,537.00,VINHATICO,2026-03
ALIMENTAÇAO,"PAO, LEITE, SUCO, GARRAFA, PAO COM MORTADELA, COCA",UNI,1,11046.00,11046.00,11046.00,ARBO,2026-03
ALIMENTAÇAO,LANCHE AUDITORIA,UNI,1,480.78,480.78,480.78,PARADISO,2026-03
ALIMENTAÇAO,AÇUCAR UNIAO,CX,1,35.99,35.99,35.99,VINHATICO,2026-03
ALIMENTAÇAO,ADOÇANTE SUCRAL,CX,1,55.20,55.20,55.20,VINHATICO,2026-03
ALIMENTAÇAO,CAFÉ 03 CORAÇOES,UNI,1,47.98,47.98,47.98,VINHATICO,2026-03
ALIMENTAÇAO,FILTRO DE PAPEL,UNI,1,4.80,4.80,4.80,VINHATICO,2026-03
ALIMENTAÇAO,MEXEDOR CAFÉ,UNI,1,7.50,7.50,7.50,VINHATICO,2026-03
ALIMENTAÇAO,"EMPADA, PAO DE QUEIJO, COXINHA, PASTEL, QUIBE",UNI,1,834.00,834.00,834.00,VINHATICO,2026-04
ALIMENTAÇAO,TABUA DE FRIOS,UNI,1,920.00,920.00,920.00,VINHATICO,2026-06
ALIMENTAÇAO,ALIMENTAÇAO,UNI,1,389.50,389.50,389.50,VINHATICO,2026-06
ALIMENTAÇAO,FORNECIMENTO DE LANCHE ABRIL,UNI,1,1434.28,1434.28,1434.28,UPTOWN,2026-06
ALIMENTAÇAO,FORNECIMENTO DE LANCHE,UNI,1,2875.50,2875.50,2875.50,UPTOWN,2026-06
AÇO,"VERGALHAO CA50 12,50MM BR 12M NBR7480",KG,15,4.32,5.24,5.98,ARBO|CELEBRATION|PARADISO|UPTOWN|VINHATICO,2026-08
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480",KG,13,4.65,5.80,6.84,ARBO|CELEBRATION|UPTOWN|VINHATICO,2026-08
AÇO,"VERGALHAO CA50 8,00MM BR 12M NBR7480",KG,9,4.65,5.74,6.52,ARBO|CELEBRATION|UPTOWN|VINHATICO,2026-08
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480",KG,9,4.32,4.90,5.63,ARBO|UPTOWN|VINHATICO,2026-08
AÇO,"VERGALHAO CA50 10,00MM BR 12M NBR7480",KG,8,4.39,5.38,6.44,ARBO|UPTOWN|VINHATICO,2026-08
AÇO,PREGO C/ CABEÇA 17X21- NBR 6627,KG,8,9.62,9.99,11.50,ARBO|CELEBRATION|PARADISO|UPTOWN|VINHATICO,2026-07
AÇO,"VERGALHAO CA50 20,00MM BR 12M NBR7480",KG,5,4.32,4.87,5.33,ARBO|UPTOWN|VINHATICO,2026-08
AÇO,"VERGALHAO CA60 5,00MM BR 12M NBR7480",KG,4,6.05,6.06,7.10,ARBO|UPTOWN,2026-08
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 299,88 KG",UNI,4,5.42,5.42,5.42,VINHATICO,2026-06
AÇO,MANUTENÇAO EM MINIGRUA C/ QUADRO ELETRICO USADO,UNI,2,1583.33,1583.33,1583.33,ARBO,2026-02
AÇO,AÇOS DIVERSOS,UNI,2,5643.56,21650.91,37658.27,ARBO,2026-02
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 105,84KG",KG,2,8477.40,8477.40,8477.41,VINHATICO,2026-06
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480 - 2651,04KG",KG,2,4.87,4.87,4.87,VINHATICO,2026-06
AÇO,"VERGALHAO CA50 20,00MM BR 12M NBR7480 - 680,57KG",KG,2,4.71,4.71,4.71,VINHATICO,2026-06
AÇO,"VERGALHAO CA50 25,00MM BR 12M NBR7480",KG,2,4.28,4.58,4.87,UPTOWN|VINHATICO,2026-08
AÇO,"VERGALHAO CA50 20,00MM BR 12M NBR7480 - 2012KG",KG,2,11048.82,11048.82,11048.82,VINHATICO,2026-05
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 1103KG",KG,2,5.58,5.58,5.58,VINHATICO,2026-05
AÇO,"VERGALHAO CA50 12,50MM BR 12M NBR7480 - 1006KG",KG,2,5.42,5.42,5.42,VINHATICO,2026-05
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 6037 KG",KG,2,17024.34,17024.34,17024.34,ARBO,2026-07
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480 - 3825,072 KG",UNI,2,10654.97,10654.97,10654.97,VINHATICO,2026-06
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480 - 2442,744 KG",KG,2,12935.91,12935.92,12935.92,VINHATICO,2026-07
AÇO,"VERGALHAO CA50 8,00MM BR 12M NBR7480 - 402,90 KG",KG,2,1154.13,1154.13,1154.13,VINHATICO,2026-07
AÇO,"VERGALHAO CA50 6,30MM BR 12M NBR7480 - 399,84 KG",KG,2,1114.95,1114.95,1114.96,VINHATICO,2026-06
AÇO,"VERGALHAO CA50 8,00MM BR 12M NBR7480 - 94,80 KG",UNI,2,561.56,561.56,561.56,VINHATICO,2026-07
AÇO,"VERGALHAO CA50 12,50MM BR 12M NBR7480 - 358,5460",KG,2,1042.12,1042.12,1042.12,PARADISO,2026-06
AÇO,"VERGALHAO CA50 16,00MM BR 12M NBR7480 - 3.825,072 KG",KG,2,10654.97,10654.97,10654.97,VINHATICO,2026-06
AÇO,FRETE - 1,UNI,2,290.00,290.00,290.00,VINHATICO,2026-06
AÇO,"VERGALHAO CA50 25,00MM NBR7480 - CD",UNI,1,23878.14,23878.14,23878.14,ARBO,2026-01
AÇO,INDUSTRIALIZAÇÃO NBR7480 - CDI,UNI,1,7248.80,7248.80,7248.80,ARBO,2026-01
AÇO,"VERGALHAO CA50 6,3MM NBR7480 - ROLO SOLDAVEL - 4080KG",UNI,1,18993.26,18993.26,18993.26,ARBO,2026-01
AÇO,"VERGALHAO CA50 10,0MM NBR7480 - ROLO SOLDAVEL - 2030KG",UNI,1,8999.59,8999.59,8999.59,ARBO,2026-01
AÇO,"VERGALHAO CA50 12,5MM NBR7480 - ROLO SOLDAVEL - 4034KG",UNI,1,17439.22,17439.22,17439.22,ARBO,2026-01
AÇO,"VERGALHAO CA50 20,0MM NBR7480 - 12M RETO - 2024KG",UNI,1,8749.87,8749.87,8749.87,ARBO,2026-01
AÇO,"VERGALHAO CA50 25,0MM NBR7480 - 12M RETO - 2072KG",UNI,1,8957.38,8957.38,8957.38,ARBO,2026-01
AÇO,"VERGALHAO CA60 5,00MM 12M NBR7480 - 27KG",UNI,1,397.10,397.10,397.10,ARBO,2026-02
AÇO,INDUSTRIALIZAÇAO NBR7480 CDI,UNI,1,7221.60,7221.60,7221.60,ARBO,2026-02
